Date,High,Low,Close,Open,Volume,Close.adj
2019/5/28,146.71,141.36,146.71,142.53,2797175,146.71
2019/5/29,146.00,143.27,145.51,145.01,1088844,145.51
2019/5/30,147.20,142.56,145.70,144.10,1675314,145.70
2019/5/31,149.97,145.56,147.50,146.50,1869608,147.50
2019/6/03,151.88,147.50,151.80,147.98,2666376,151.80
2019/6/04,153.30,146.78,147.50,152.32,2731237,147.50
2019/6/05,156.66,148.50,153.60,149.02,3428853,153.60
2019/6/06,152.03,147.60,149.00,152.00,3085964,149.00
2019/6/10,153.33,149.00,151.68,149.00,1332431,151.68
2019/6/11,155.10,151.10,155.05,151.68,1996430,155.05
2019/6/12,157.50,152.85,157.00,154.00,1652548,157.00
2019/6/13,157.04,153.20,153.96,156.50,1903335,153.96
2019/6/14,154.77,151.35,152.00,153.98,1783640,152.00
2019/6/17,154.06,149.00,150.60,152.14,1935304,150.60
2019/6/18,153.66,149.51,153.30,151.40,1638778,153.30
2019/6/19,156.80,153.62,154.26,156.01,1600652,154.26
2019/6/20,158.60,153.80,157.75,154.75,2478436,157.75
2019/6/21,161.00,156.39,157.51,160.16,3798076,157.51
2019/6/24,158.54,155.18,158.33,157.95,2345532,158.33
2019/6/25,157.90,154.31,154.69,157.14,1820832,154.69
2019/6/26,158.25,153.82,158.25,154.06,1830581,158.25
2019/6/27,163.60,157.71,162.40,158.98,2119281,162.40
2019/6/28,164.50,161.18,163.20,162.45,1174895,163.20
2019/7/01,168.60,164.51,168.55,164.51,1813319,168.55
2019/7/02,175.58,168.56,174.00,169.93,3491549,174.00
2019/7/03,173.99,163.00,165.80,172.90,4104687,165.80
2019/7/04,166.75,160.01,162.59,165.59,2907231,162.59
2019/7/05,165.28,161.60,164.00,162.50,2356249,164.00
2019/7/08,164.36,160.60,163.00,163.01,2035476,163.00
2019/7/09,163.95,160.80,162.20,163.87,1056533,162.20
2019/7/10,165.40,161.54,165.26,162.91,1816871,165.26
2019/7/11,168.00,162.18,162.89,166.51,2070388,162.89
2019/7/12,164.66,157.99,159.00,162.25,2607123,159.00
2019/7/15,160.47,154.88,159.07,159.99,2571665,159.07
2019/7/16,159.94,152.59,154.43,159.07,3765963,154.43
2019/7/17,158.65,153.66,158.00,153.66,2430498,158.00
2019/7/18,159.90,156.30,157.21,158.11,1501029,157.21
2019/7/19,159.60,156.40,156.60,157.77,1292819,156.60
2019/7/22,159.01,153.37,156.84,157.15,1378273,156.84
2019/7/23,157.84,154.60,155.17,157.35,1129302,155.17
2019/7/24,160.15,154.70,159.00,156.45,1698952,159.00
2019/7/25,163.20,157.05,163.10,158.53,2606414,163.10
2019/7/26,166.21,161.44,164.40,162.00,2039408,164.40
2019/7/29,165.87,160.30,161.00,165.50,2192663,161.00
2019/7/30,164.09,160.06,162.38,160.10,1299102,162.38
2019/7/31,162.59,158.30,158.90,161.15,1412818,158.90
2019/8/01,160.86,156.24,157.78,158.12,1846157,157.78
2019/8/02,159.33,154.30,158.60,154.99,1431674,158.60
2019/8/05,157.98,148.99,153.36,157.39,3654116,153.36
2019/8/06,154.86,149.21,152.81,150.00,2193415,152.81
2019/8/07,157.23,153.03,155.87,153.66,1797286,155.87
2019/8/08,161.65,155.00,160.15,157.30,2028565,160.15
2019/8/09,164.39,159.29,160.37,160.99,2747381,160.37
2019/8/12,162.87,160.00,161.03,160.30,1264275,161.03
2019/8/13,164.18,160.48,163.01,161.03,1674684,163.01
2019/8/14,166.48,163.03,165.08,165.00,1844864,165.08
2019/8/15,166.20,163.00,165.10,163.44,1036251,165.10
2019/8/16,168.95,165.10,166.51,166.20,1459612,166.51
2019/8/19,171.77,167.65,169.30,170.34,2362484,169.30
2019/8/20,171.90,169.00,170.52,171.38,1349023,170.52
2019/8/21,170.98,166.72,168.49,170.52,2311554,168.49
2019/8/22,170.35,167.60,170.12,168.46,1382328,170.12
2019/8/23,175.70,168.50,175.40,169.58,2218763,175.40
2019/8/26,178.50,172.80,174.99,173.50,2262320,174.99
2019/8/27,183.46,176.00,182.60,176.00,2876686,182.60
2019/8/28,184.92,178.49,181.91,182.51,1949936,181.91
2019/8/29,181.39,175.38,179.08,181.00,2662289,179.08
2019/8/30,191.46,178.02,186.35,180.00,3185328,186.35
2019/9/02,192.00,185.05,189.84,185.99,1742358,189.84
2019/9/03,189.84,182.23,184.46,189.84,3059161,184.46
2019/9/04,184.77,179.90,182.86,183.48,1953311,182.86
2019/9/05,185.99,180.33,182.33,183.60,2624617,182.33
2019/9/06,183.83,180.00,183.40,182.30,1828329,183.40
2019/9/09,184.99,181.08,182.28,184.10,1817751,182.28
2019/9/10,182.98,178.26,179.90,182.89,2196828,179.90
2019/9/11,183.17,178.00,180.20,181.27,1408938,180.20
2019/9/12,180.80,178.15,180.26,180.21,1142650,180.26
2019/9/16,182.66,178.30,181.90,181.00,1573129,181.90
2019/9/17,185.50,180.58,181.97,181.50,1694187,181.97
2019/9/18,184.85,181.23,184.66,182.87,1930113,184.66
2019/9/19,186.55,182.16,184.07,185.90,1304874,184.07
2019/9/20,188.39,183.17,187.16,183.53,2412229,187.16
2019/9/23,186.91,181.56,183.36,186.91,1569395,183.36
2019/9/24,188.85,182.00,186.98,182.06,1974463,186.98
2019/9/25,191.10,185.63,189.83,186.15,1928606,189.83
2019/9/26,196.60,189.03,189.88,191.16,2388844,189.88
2019/9/27,192.88,186.34,189.84,188.96,1785729,189.84
2019/9/30,189.00,182.00,184.46,189.00,2051172,184.46
2019/10/08,190.48,181.00,183.49,182.00,2273208,183.49
2019/10/09,187.30,172.48,175.30,182.26,4018545,175.30
2019/10/10,186.52,177.00,185.03,177.90,3546440,185.03
2019/10/11,187.80,181.48,182.36,185.46,2175166,182.36
2019/10/14,186.50,179.04,180.01,183.00,3572315,180.01
